# Z:/fernerkundung/work/jakob45/RikolaTestdata/Panel_specliball (PSR-3500_SN1456045_00005.sed:C2)
344.200012 5.907000
345.799988 5.758600
347.399994 5.847600
348.899994 5.817900
350.500000 5.695400
352.100006 5.758900
353.700012 5.896400
355.299988 5.774500
356.899994 5.923800
358.500000 5.898700
360.100006 6.020000
361.600006 5.973500
363.200012 5.887200
364.799988 5.873400
366.399994 6.063100
368.000000 6.027900
369.500000 6.043100
371.100006 6.085100
372.700012 6.083700
374.200012 6.064000
375.799988 6.045100
377.399994 6.081800
378.899994 6.067600
380.500000 6.150700
382.100006 6.039400
383.600006 6.124800
385.200012 6.096000
386.700012 6.093200
388.299988 6.035900
389.899994 6.114100
391.399994 6.102500
393.000000 6.106200
394.500000 6.097700
396.100006 6.049500
397.600006 6.096900
399.200012 6.100700
400.700012 5.939200
402.200012 5.991500
403.799988 5.986300
405.299988 5.985500
406.899994 6.001100
408.399994 5.992800
409.899994 5.973400
411.500000 5.988600
413.000000 5.957100
414.600006 5.958100
416.100006 5.953100
417.600006 5.937600
419.200012 5.925500
420.700012 5.914200
422.200012 5.914500
423.700012 5.916900
425.299988 5.896300
426.799988 5.852500
428.299988 5.840600
429.799988 5.859100
431.399994 5.842100
432.899994 5.828200
434.399994 5.824200
435.899994 5.804900
437.500000 5.804400
439.000000 5.778300
440.500000 5.767500
442.000000 5.780100
443.500000 5.755400
445.000000 5.748300
446.600006 5.723900
448.100006 5.727300
449.600006 5.727200
451.100006 5.714100
452.600006 5.708700
454.100006 5.696600
455.600006 5.676600
457.100006 5.659300
458.600006 5.647100
460.100006 5.642500
461.600006 5.651200
463.100006 5.641400
464.600006 5.638100
466.100006 5.632000
467.600006 5.629300
469.100006 5.615700
470.600006 5.608000
472.100006 5.604600
473.600006 5.604000
475.100006 5.582000
476.600006 5.577700
478.100006 5.560800
479.600006 5.549000
481.100006 5.533000
482.600006 5.526900
484.100006 5.516700
485.600006 5.521600
487.100006 5.517600
488.600006 5.512000
490.100006 5.507600
491.600006 5.501700
493.000000 5.490100
494.500000 5.480200
496.000000 5.477800
497.500000 5.465200
499.000000 5.457500
500.500000 5.452800
501.899994 5.443100
503.399994 5.430100
504.899994 5.427100
506.399994 5.417300
507.899994 5.411100
509.299988 5.402300
510.799988 5.400300
512.299988 5.394800
513.799988 5.387100
515.200012 5.378300
516.700012 5.372100
518.200012 5.367600
519.700012 5.360000
521.099976 5.357400
522.599976 5.353700
524.099976 5.350000
525.500000 5.343100
527.000000 5.339200
528.500000 5.335400
529.900024 5.328100
531.400024 5.325000
532.900024 5.318400
534.299988 5.312100
535.799988 5.308600
537.299988 5.306100
538.700012 5.300400
540.200012 5.295600
541.599976 5.298800
543.099976 5.293500
544.599976 5.286900
546.000000 5.279700
547.500000 5.267700
548.900024 5.262900
550.400024 5.258200
551.799988 5.257800
553.299988 5.257000
554.700012 5.255100
556.200012 5.255200
557.599976 5.252800
559.099976 5.250900
560.500000 5.248400
562.000000 5.243700
563.400024 5.245000
564.900024 5.238000
566.299988 5.237100
567.799988 5.234300
569.200012 5.227800
570.700012 5.227300
572.099976 5.223100
573.500000 5.225000
575.000000 5.221300
576.400024 5.220800
577.900024 5.218300
579.299988 5.217800
580.700012 5.215300
582.200012 5.213100
583.599976 5.211900
585.000000 5.210100
586.500000 5.207500
587.900024 5.209200
589.299988 5.207400
590.700012 5.206700
592.200012 5.206700
593.599976 5.203400
595.000000 5.199500
596.500000 5.200100
597.900024 5.193900
599.299988 5.195400
600.700012 5.192900
602.099976 5.194900
603.599976 5.190800
605.000000 5.188300
606.400024 5.188500
607.799988 5.189600
609.200012 5.188500
610.700012 5.185300
612.099976 5.183400
613.500000 5.181100
614.900024 5.177400
616.299988 5.177400
617.700012 5.176100
619.099976 5.172600
620.500000 5.174200
621.900024 5.172300
623.299988 5.172200
624.700012 5.168300
626.099976 5.170400
627.599976 5.168300
629.000000 5.163800
630.400024 5.164900
631.799988 5.165300
633.200012 5.162800
634.599976 5.165300
635.900024 5.162100
637.299988 5.162300
638.700012 5.163200
640.099976 5.160400
641.500000 5.158700
642.900024 5.154900
644.299988 5.153300
645.700012 5.153700
647.099976 5.147900
648.500000 5.150200
649.799988 5.149500
651.200012 5.149600
652.599976 5.149600
654.000000 5.146800
655.400024 5.149500
656.799988 5.145600
658.099976 5.143400
659.500000 5.147400
660.900024 5.140400
662.299988 5.140600
663.599976 5.139500
665.000000 5.139500
666.400024 5.138900
667.799988 5.135900
669.099976 5.136000
670.500000 5.133100
671.900024 5.133300
673.200012 5.133100
674.599976 5.128700
675.900024 5.130500
677.299988 5.128500
678.700012 5.129700
680.000000 5.127700
681.400024 5.126300
682.700012 5.126900
684.099976 5.126600
685.500000 5.123700
686.799988 5.126000
688.200012 5.122700
689.500000 5.123500
690.900024 5.123900
692.200012 5.125800
693.599976 5.127700
694.900024 5.124600
696.200012 5.125700
697.599976 5.120700
698.900024 5.121600
700.299988 5.121200
701.599976 5.118200
702.900024 5.118600
704.299988 5.119400
705.599976 5.118800
707.000000 5.119800
708.299988 5.115400
709.599976 5.118200
711.000000 5.113200
712.299988 5.110300
713.599976 5.113000
714.900024 5.109600
716.299988 5.108500
717.599976 5.108400
718.900024 5.109400
720.200012 5.107400
721.500000 5.107000
722.900024 5.106100
724.200012 5.102900
725.500000 5.103500
726.799988 5.105100
728.099976 5.099300
729.400024 5.098000
730.700012 5.103600
732.099976 5.099500
733.400024 5.097400
734.700012 5.097500
736.000000 5.096900
737.299988 5.093600
738.599976 5.089900
739.900024 5.091600
741.200012 5.088200
742.500000 5.091100
743.799988 5.089500
745.099976 5.090400
746.400024 5.094600
747.700012 5.090300
749.000000 5.092000
750.200012 5.086900
751.500000 5.086800
752.799988 5.090900
754.099976 5.087300
755.400024 5.089100
756.700012 5.089900
758.000000 5.084100
759.200012 5.083400
760.500000 5.080300
761.799988 5.080800
763.099976 5.073900
764.299988 5.076600
765.599976 5.079900
766.900024 5.075500
768.200012 5.076400
769.400024 5.077800
770.700012 5.078800
772.000000 5.083200
773.200012 5.082200
774.500000 5.082400
775.799988 5.085700
777.000000 5.082100
778.299988 5.082300
779.500000 5.079700
780.799988 5.081100
782.000000 5.080700
783.299988 5.081400
784.500000 5.084100
785.799988 5.082200
787.000000 5.081700
788.299988 5.080300
789.500000 5.080100
790.799988 5.084000
792.000000 5.078300
793.299988 5.078000
794.500000 5.075500
795.799988 5.076400
797.000000 5.075100
798.200012 5.074100
799.500000 5.078400
800.700012 5.077200
801.900024 5.075900
803.200012 5.081900
804.400024 5.078400
805.599976 5.077800
806.799988 5.074600
808.099976 5.072800
809.299988 5.077700
810.500000 5.075900
811.700012 5.075000
812.900024 5.073000
814.200012 5.069000
815.400024 5.065400
816.599976 5.066100
817.799988 5.070700
819.000000 5.072200
820.200012 5.074000
821.400024 5.073700
822.599976 5.075700
823.799988 5.073200
825.099976 5.073300
826.299988 5.074100
827.500000 5.073700
828.700012 5.071300
829.900024 5.070000
831.000000 5.064500
832.200012 5.063700
833.400024 5.064000
834.599976 5.064800
835.799988 5.061400
837.000000 5.061600
838.200012 5.061300
839.400024 5.060300
840.599976 5.061600
841.700012 5.063900
842.900024 5.059200
844.099976 5.060700
845.299988 5.059200
846.500000 5.058200
847.599976 5.051800
848.799988 5.053700
850.000000 5.057500
851.099976 5.054500
852.299988 5.054200
853.500000 5.054400
854.700012 5.055100
855.799988 5.053300
857.000000 5.053000
858.099976 5.053700
859.299988 5.052300
860.500000 5.053500
861.599976 5.057100
