# Z:/fernerkundung/work/jakob45/RikolaTestdata/Panel_specliball (PSR-3500_SN1456045_00004.sed:C2)
344.200012 13.847000
345.799988 13.400400
347.399994 14.144800
348.899994 14.293700
350.500000 14.802200
352.100006 14.300400
353.700012 13.206100
355.299988 13.177800
356.899994 12.350200
358.500000 12.366900
360.100006 11.989800
361.600006 11.790500
363.200012 12.023100
364.799988 11.514800
366.399994 11.356600
368.000000 11.230500
369.500000 10.078600
371.100006 9.948700
372.700012 9.698900
374.200012 9.727000
375.799988 9.814800
377.399994 10.185800
378.899994 10.855200
380.500000 11.131100
382.100006 11.825600
383.600006 12.511000
385.200012 13.054200
386.700012 13.662800
388.299988 14.334000
389.899994 15.381300
391.399994 16.212200
393.000000 17.086800
394.500000 18.000100
396.100006 18.798800
397.600006 19.571300
399.200012 20.139700
400.700012 20.748100
402.200012 21.390200
403.799988 21.902800
405.299988 22.186900
406.899994 22.586500
408.399994 22.802300
409.899994 22.897300
411.500000 23.106800
413.000000 23.166000
414.600006 23.192700
416.100006 23.240000
417.600006 23.279300
419.200012 23.284900
420.700012 23.209400
422.200012 23.217800
423.700012 23.271300
425.299988 23.211900
426.799988 23.210800
428.299988 23.166900
429.799988 23.188400
431.399994 23.160000
432.899994 23.158000
434.399994 23.065200
435.899994 23.077000
437.500000 23.029800
439.000000 23.050500
440.500000 22.970000
442.000000 22.943900
443.500000 22.931400
445.000000 22.906100
446.600006 22.854700
448.100006 22.817500
449.600006 22.802500
451.100006 22.757600
452.600006 22.772200
454.100006 22.761200
455.600006 22.675400
457.100006 22.628200
458.600006 22.640700
460.100006 22.598400
461.600006 22.597500
463.100006 22.567900
464.600006 22.549900
466.100006 22.502800
467.600006 22.481300
469.100006 22.455300
470.600006 22.419300
472.100006 22.409200
473.600006 22.405600
475.100006 22.339100
476.600006 22.311000
478.100006 22.301000
479.600006 22.235300
481.100006 22.192900
482.600006 22.144200
484.100006 22.107500
485.600006 22.075700
487.100006 22.057000
488.600006 22.018100
490.100006 21.975200
491.600006 21.937100
493.000000 21.879200
494.500000 21.836100
496.000000 21.781100
497.500000 21.745900
499.000000 21.707200
500.500000 21.632400
501.899994 21.592000
503.399994 21.546400
504.899994 21.502300
506.399994 21.430700
507.899994 21.395000
509.299988 21.334700
510.799988 21.290100
512.299988 21.238300
513.799988 21.176200
515.200012 21.132400
516.700012 21.073800
518.200012 21.024900
519.700012 20.968300
521.099976 20.919100
522.599976 20.870900
524.099976 20.805800
525.500000 20.748400
527.000000 20.707300
528.500000 20.651100
529.900024 20.590600
531.400024 20.542800
532.900024 20.489600
534.299988 20.436100
535.799988 20.375700
537.299988 20.350300
538.700012 20.282700
540.200012 20.234700
541.599976 20.184800
543.099976 20.160500
544.599976 20.103100
546.000000 20.043400
547.500000 19.986900
548.900024 19.930900
550.400024 19.888200
551.799988 19.853400
553.299988 19.814600
554.700012 19.779800
556.200012 19.741700
557.599976 19.709500
559.099976 19.670600
560.500000 19.632700
562.000000 19.599600
563.400024 19.560100
564.900024 19.519400
566.299988 19.497600
567.799988 19.458200
569.200012 19.426100
570.700012 19.391400
572.099976 19.372200
573.500000 19.341800
575.000000 19.307100
576.400024 19.299700
577.900024 19.265100
579.299988 19.234300
580.700012 19.222200
582.200012 19.200800
583.599976 19.188600
585.000000 19.166400
586.500000 19.149300
587.900024 19.132000
589.299988 19.116500
590.700012 19.114800
592.200012 19.092800
593.599976 19.073500
595.000000 19.082500
596.500000 19.061200
597.900024 19.057700
599.299988 19.052600
600.700012 19.042500
602.099976 19.030700
603.599976 19.030100
605.000000 19.031900
606.400024 19.031200
607.799988 19.031500
609.200012 19.036900
610.700012 19.022200
612.099976 19.022800
613.500000 19.036500
614.900024 19.036600
616.299988 19.034400
617.700012 19.047500
619.099976 19.054800
620.500000 19.061800
621.900024 19.062500
623.299988 19.085800
624.700012 19.082100
626.099976 19.100400
627.599976 19.109000
629.000000 19.120200
630.400024 19.126800
631.799988 19.150800
633.200012 19.163500
634.599976 19.177300
635.900024 19.195600
637.299988 19.221900
638.700012 19.231200
640.099976 19.251900
641.500000 19.274300
642.900024 19.289500
644.299988 19.303200
645.700012 19.331200
647.099976 19.348400
648.500000 19.371100
649.799988 19.393600
651.200012 19.422200
652.599976 19.439400
654.000000 19.463000
655.400024 19.493400
656.799988 19.515100
658.099976 19.539500
659.500000 19.573600
660.900024 19.599100
662.299988 19.621300
663.599976 19.652400
665.000000 19.685600
666.400024 19.711800
667.799988 19.737100
669.099976 19.769000
670.500000 19.796100
671.900024 19.822300
673.200012 19.850100
674.599976 19.883500
675.900024 19.906700
677.299988 19.932000
678.700012 19.973200
680.000000 19.994100
681.400024 20.018300
682.700012 20.053700
684.099976 20.083000
685.500000 20.109000
686.799988 20.138400
688.200012 20.159200
689.500000 20.190700
690.900024 20.217300
692.200012 20.258100
693.599976 20.274500
694.900024 20.291300
696.200012 20.308100
697.599976 20.332200
698.900024 20.349600
700.299988 20.369200
701.599976 20.391600
702.900024 20.401100
704.299988 20.427200
705.599976 20.453200
707.000000 20.460100
708.299988 20.471800
709.599976 20.498300
711.000000 20.509600
712.299988 20.521800
713.599976 20.531000
714.900024 20.548500
716.299988 20.552600
717.599976 20.562800
718.900024 20.594400
720.200012 20.588300
721.500000 20.592500
722.900024 20.611300
724.200012 20.616400
725.500000 20.619600
726.799988 20.633200
728.099976 20.635700
729.400024 20.649300
730.700012 20.654800
732.099976 20.666400
733.400024 20.658200
734.700012 20.664100
736.000000 20.681200
737.299988 20.674100
738.599976 20.684400
739.900024 20.682900
741.200012 20.689300
742.500000 20.691200
743.799988 20.688800
745.099976 20.702800
746.400024 20.703200
747.700012 20.698500
749.000000 20.707600
750.200012 20.695600
751.500000 20.694600
752.799988 20.716400
754.099976 20.707100
755.400024 20.707400
756.700012 20.704500
758.000000 20.714200
759.200012 20.699500
760.500000 20.699600
761.799988 20.706300
763.099976 20.703700
764.299988 20.705700
765.599976 20.718200
766.900024 20.709000
768.200012 20.714200
769.400024 20.713700
770.700012 20.730800
772.000000 20.725800
773.200012 20.725500
774.500000 20.729100
775.799988 20.727400
777.000000 20.720600
778.299988 20.741700
779.500000 20.727600
780.799988 20.733700
782.000000 20.733000
783.299988 20.737600
784.500000 20.733400
785.799988 20.731000
787.000000 20.745700
788.299988 20.727200
789.500000 20.735200
790.799988 20.737000
792.000000 20.737500
793.299988 20.732400
794.500000 20.742800
795.799988 20.735100
797.000000 20.725000
798.200012 20.725800
799.500000 20.753900
800.700012 20.745200
801.900024 20.742000
803.200012 20.770700
804.400024 20.762500
805.599976 20.754900
806.799988 20.739200
808.099976 20.760700
809.299988 20.740500
810.500000 20.737500
811.700012 20.753500
812.900024 20.725900
814.200012 20.728100
815.400024 20.733500
816.599976 20.728500
817.799988 20.730100
819.000000 20.735100
820.200012 20.735100
821.400024 20.725800
822.599976 20.729200
823.799988 20.741300
825.099976 20.724700
826.299988 20.718800
827.500000 20.736800
828.700012 20.727400
829.900024 20.729900
831.000000 20.722300
832.200012 20.719700
833.400024 20.703900
834.599976 20.703600
835.799988 20.698300
837.000000 20.699100
838.200012 20.698000
839.400024 20.699100
840.599976 20.694600
841.700012 20.686000
842.900024 20.680800
844.099976 20.694400
845.299988 20.690300
846.500000 20.679200
847.599976 20.683400
848.799988 20.669600
850.000000 20.669600
851.099976 20.675500
852.299988 20.661700
853.500000 20.656900
854.700012 20.668600
855.799988 20.656300
857.000000 20.647100
858.099976 20.648600
859.299988 20.647900
860.500000 20.652100
861.599976 20.657900
862.799988 20.668500
863.900024 20.661900
865.099976 20.653500
866.200012 20.658800
867.400024 20.656300
868.500000 20.636900
869.700012 20.638700
870.799988 20.634400
871.900024 20.624800
873.099976 20.624800
874.200012 20.623400
875.400024 20.624900
876.500000 20.617200
877.599976 20.605400
878.799988 20.598400
879.900024 20.590100
881.000000 20.609000
882.200012 20.598900
883.299988 20.606900
884.400024 20.581500
885.500000 20.582500
886.599976 20.584100
887.799988 20.586800
888.900024 20.579200
890.000000 20.578500
891.099976 20.571600
892.200012 20.554900
893.299988 20.571500
894.400024 20.567900
895.599976 20.556200
896.700012 20.569300
897.799988 20.550100
898.900024 20.562700
900.000000 20.546600
901.099976 20.541000
902.200012 20.531500
903.299988 20.538900
904.400024 20.550000
905.400024 20.527300
906.500000 20.524600
907.599976 20.531500
908.700012 20.520800
909.799988 20.501300
910.900024 20.502600
912.000000 20.505700
913.000000 20.487500
914.099976 20.491800
915.200012 20.503900
916.299988 20.479000
917.299988 20.484800
918.400024 20.491500
919.500000 20.485800
920.599976 20.488100
921.599976 20.480400
922.700012 20.486300
923.700012 20.461600
924.799988 20.470600
925.900024 20.479300
926.900024 20.477700
928.000000 20.469400
929.000000 20.477600
930.099976 20.497700
931.099976 20.466700
932.200012 20.480200
933.200012 20.484300
934.299988 20.494200
935.299988 20.484000
936.299988 20.501800
937.400024 20.497400
938.400024 20.502100
939.400024 20.491600
940.500000 20.507200
941.500000 20.513800
942.500000 20.501900
943.500000 20.521600
944.599976 20.508700
945.599976 20.516000
946.599976 20.537500
947.599976 20.524800
948.599976 20.522300
949.700012 20.528000
950.700012 20.526900
951.700012 20.531400
952.700012 20.510300
953.700012 20.534100
954.700012 20.528000
955.700012 20.525600
956.700012 20.513900
957.700012 20.510700
958.700012 20.516900
959.700012 20.556000
960.599976 20.557500
961.000000 20.548800
961.599976 20.535800
962.599976 20.541500
963.599976 20.547000
964.599976 20.569200
965.000000 20.550900
965.500000 20.528000
966.500000 20.563800
967.500000 20.564800
968.500000 20.543600
969.000000 20.548700
969.400024 20.552800
970.400024 20.556400
971.299988 20.553300
972.299988 20.555300
972.900024 20.550900
973.299988 20.547900
974.200012 20.579300
975.200012 20.557600
976.099976 20.595600
976.900024 20.591500
977.099976 20.590500
978.000000 20.538500
978.900024 20.558800
979.900024 20.522100
980.799988 20.526600
980.900024 20.526400
981.799988 20.523700
982.700012 20.508400
983.599976 20.521200
984.500000 20.558800
984.799988 20.551800
985.500000 20.535400
986.400024 20.520100
987.299988 20.519500
988.200012 20.488000
988.799988 20.471800
989.099976 20.463600
990.000000 20.485600
990.900024 20.500200
991.799988 20.476300
992.700012 20.466100
992.700012 20.466100
993.599976 20.400400
994.500000 20.465600
995.400024 20.421400
996.299988 20.444600
996.700012 20.432600
997.200012 20.430600
998.099976 20.451100
998.900024 20.455800
999.799988 20.461000
1000.700012 20.466300
1000.700012 20.466300
1001.599976 20.468800
1002.400024 20.471000
1003.299988 20.473500
1004.099976 20.475700
1004.599976 20.477100
1008.599976 20.470300
1012.500000 20.451400
1016.500000 20.452900
1020.400024 20.463900
1024.400024 20.438700
1028.300049 20.425700
1032.199951 20.434100
1036.199951 20.442000
1040.099976 20.434100
1044.099976 20.426900
1048.000000 20.430200
1051.900024 20.425900
1055.900024 20.421700
1059.800049 20.412000
1063.699951 20.421100
1067.599976 20.431100
1071.599976 20.421500
1075.500000 20.410400
1079.400024 20.411300
1083.300049 20.409500
1087.199951 20.399000
1091.199951 20.397300
1095.099976 20.389800
1099.000000 20.399300
1102.900024 20.399700
1106.800049 20.378200
1110.699951 20.372800
1114.599976 20.378100
1118.500000 20.367600
1122.400024 20.353600
1126.300049 20.350700
1130.199951 20.348100
1134.099976 20.318400
1138.000000 20.264700
1141.900024 20.253200
1145.800049 20.247100
1149.699951 20.206800
1153.500000 20.162100
1157.400024 20.118800
1161.300049 20.055000
1165.199951 19.974100
1169.099976 19.914000
1172.900024 19.866600
1176.800049 19.844300
1180.699951 19.804700
1184.599976 19.732200
1188.400024 19.684000
1192.300049 19.632800
1196.199951 19.581600
1200.000000 19.566900
1203.900024 19.572600
1207.699951 19.577300
1211.599976 19.580700
1215.500000 19.609400
1219.300049 19.687500
1223.199951 19.764000
1227.000000 19.838700
1230.900024 19.916100
1234.699951 19.966500
1238.500000 20.010200
1242.400024 20.037200
1246.199951 20.045900
1250.099976 20.067400
1253.900024 20.085500
1257.699951 20.079600
1261.599976 20.089100
1265.400024 20.107700
1269.199951 20.105100
1273.000000 20.099800
1276.900024 20.102600
1280.699951 20.112500
1284.500000 20.115500
1288.300049 20.113600
1292.099976 20.104400
1295.900024 20.091800
1299.699951 20.080900
1303.599976 20.076400
1307.400024 20.075800
1311.199951 20.064900
1315.000000 20.065800
1318.800049 20.073400
1322.599976 20.075700
1326.400024 20.073500
1330.099976 20.066100
1333.900024 20.044100
1337.699951 20.031200
1341.500000 20.038300
1345.300049 20.030300
1349.099976 19.997300
1352.900024 19.946900
1356.599976 19.907800
1360.400024 19.883000
1364.199951 19.845100
1368.000000 19.786300
1371.699951 19.732500
1375.500000 19.668400
1379.300049 19.587700
1383.000000 19.516400
1386.800049 19.456600
1390.500000 19.406900
1394.300049 19.372800
1398.000000 19.372200
1401.800049 19.377000
1405.500000 19.369000
1409.300049 19.343500
1413.000000 19.317100
1416.800049 19.307300
1420.500000 19.321800
1424.199951 19.335400
1428.000000 19.343300
1431.699951 19.386700
1435.400024 19.437600
1439.199951 19.456500
1442.900024 19.493300
1446.599976 19.537600
1450.300049 19.560700
1454.099976 19.582600
1457.800049 19.605500
1461.500000 19.624500
1465.199951 19.644700
1468.900024 19.649200
1472.599976 19.642500
1476.300049 19.653000
1480.000000 19.669300
1483.699951 19.691200
1487.400024 19.692300
1491.099976 19.687900
1494.800049 19.694600
1498.500000 19.701900
1502.199951 19.709400
1505.900024 19.724900
1509.500000 19.748900
1513.199951 19.744500
1516.900024 19.731300
1520.599976 19.728900
1524.300049 19.709700
1527.900024 19.700000
1531.599976 19.712700
1535.300049 19.709000
1538.900024 19.718600
1542.599976 19.729300
1546.199951 19.730600
1549.900024 19.754000
1553.500000 19.764000
1557.199951 19.754400
1560.800049 19.736100
1564.500000 19.727400
1568.099976 19.721200
1571.800049 19.720400
1575.400024 19.733300
1579.000000 19.721300
1582.699951 19.707500
1586.300049 19.698400
1589.900024 19.698800
1593.599976 19.684100
1597.199951 19.676300
1600.800049 19.669300
1604.400024 19.649500
1608.000000 19.655200
1611.599976 19.660800
1615.300049 19.658900
1618.900024 19.630100
1622.500000 19.609900
1626.099976 19.619600
1629.699951 19.606600
1633.300049 19.581500
1636.900024 19.571500
1640.400024 19.566500
1644.000000 19.536700
1647.599976 19.501100
1651.199951 19.502400
1654.800049 19.477700
1658.400024 19.422500
1661.900024 19.370500
1665.500000 19.319300
1669.099976 19.243300
1672.599976 19.147100
1676.199951 19.061100
1679.800049 18.938700
1683.300049 18.753700
1686.900024 18.444200
1690.400024 18.001400
1694.000000 17.513000
1697.500000 16.957900
1701.099976 16.316800
1704.599976 15.641800
1708.199951 14.944100
1711.699951 14.352900
1715.199951 14.034400
1718.800049 14.050000
1722.300049 14.287200
1725.800049 14.552400
1729.300049 14.809400
1732.900024 15.095900
1736.400024 15.350000
1739.900024 15.519000
1743.400024 15.641200
1746.900024 15.760900
1750.400024 15.827100
1753.900024 15.848900
1757.400024 15.935300
1760.900024 16.057700
1764.400024 16.177200
1767.900024 16.327900
1771.400024 16.485500
1774.900024 16.624800
1778.400024 16.738000
1781.800049 16.863400
1785.300049 16.988500
1788.800049 17.067400
1792.300049 17.144500
1795.699951 17.248300
1799.199951 17.298900
1802.699951 17.316200
1806.099976 17.389300
1809.599976 17.444000
1813.000000 17.453200
1816.500000 17.449800
1819.900024 17.451800
1823.400024 17.472300
1826.800049 17.456800
1830.300049 17.480600
1833.699951 17.520100
1837.099976 17.565800
1840.599976 17.645000
1844.000000 17.673700
1847.400024 17.720100
1850.800049 17.792200
1854.199951 17.819400
1857.699951 17.829700
1861.099976 17.887000
1864.500000 17.944100
1867.300049 17.957400
1867.900024 17.960200
1870.199951 17.956800
1871.300049 17.955100
1873.000000 17.906900
1874.699951 17.858700
1875.800049 17.832500
1878.099976 17.777800
1878.599976 17.771100
1881.400024 17.744200
1881.500000 17.744000
1884.199951 17.747900
1884.900024 17.744300
1887.000000 17.745400
1888.300049 17.774500
1889.900024 17.815400
1891.699951 17.792700
1892.699951 17.779400
1895.000000 17.715500
1895.500000 17.701600
1898.300049 17.725700
1898.400024 17.727000
1901.099976 17.763400
1901.800049 17.767400
1903.900024 17.779600
1905.199951 17.803300
1906.599976 17.828900
1909.400024 17.796800
1912.199951 17.780200
1915.000000 17.838400
1917.800049 17.799700
1920.599976 17.709800
1923.300049 17.721300
1926.099976 17.726100
1928.900024 17.678800
1931.699951 17.684200
1934.400024 17.708100
1937.199951 17.732000
1939.900024 17.763300
1942.699951 17.748300
1945.500000 17.720700
1948.199951 17.759600
1951.000000 17.768900
1953.699951 17.757800
1956.500000 17.779700
1959.199951 17.805000
1961.900024 17.843400
1964.699951 17.857100
1967.400024 17.859800
1970.099976 17.904300
1972.900024 17.966100
1975.599976 17.994600
1978.300049 17.995300
1981.099976 18.024100
1983.800049 18.042300
1986.500000 18.078800
1989.199951 18.115800
1991.900024 18.126000
1994.599976 18.156300
1997.300049 18.184800
2000.000000 18.194000
2002.699951 18.222900
2005.400024 18.263500
2008.099976 18.278300
2010.800049 18.292800
2013.500000 18.328000
2016.199951 18.337700
2018.900024 18.334000
2021.599976 18.390900
2024.300049 18.428900
2027.000000 18.452300
2029.599976 18.484200
2032.300049 18.512400
2035.000000 18.520500
2037.699951 18.527400
2040.300049 18.530000
2043.000000 18.551100
2045.599976 18.594800
2048.300049 18.608600
2051.000000 18.614500
2053.600098 18.626900
2056.300049 18.658800
2058.899902 18.691800
2061.600098 18.708400
2064.199951 18.750200
2066.899902 18.792300
2069.500000 18.818200
2072.100098 18.806400
2074.800049 18.818000
2077.399902 18.909300
2080.000000 18.921100
2082.600098 18.924600
2085.300049 18.935100
2087.899902 18.976700
2090.500000 18.966600
2093.100098 18.953200
2095.699951 18.994600
2098.399902 19.010400
2101.000000 19.001900
2103.600098 19.008000
2106.199951 19.022500
